Net,Pin,Pin,Pin,Pin
VBUS_CAR,J1.VBUS(A4/B4/A9/B9),U2.IN,C14.1,U3.VBUS
+3V3,U2.OUT,U1.VDD(all),U1.VBAT,C13.1
+3V3,FB1.1,J3.1,TP_3V3,
VDDA,FB1.2,U1.VDDA,U1.VREF+,C15.1/C16.1
GND,U1.VSS(all),U1.VSSA,U2.GND,everything
USB1_DP,J1.A6+B6 tied,R1.1,,
USB1_DP_MCU,R1.2,U1.PA12,,
USB1_DM,J1.A7+B7 tied,R2.1,,
USB1_DM_MCU,R2.2,U1.PA11,,
USB1_CC1,J1.CC1,R5.1,,
USB1_CC2,J1.CC2,R6.1,,
USB2_DP,J2.A6+B6 tied,R3.1,,
USB2_DP_MCU,R3.2,U1.PB15,,
USB2_DM,J2.A7+B7 tied,R4.1,,
USB2_DM_MCU,R4.2,U1.PB14,,
USB2_CC1,J2.CC1,R7.1,,
USB2_CC2,J2.CC2,R8.1,,
VBUS_PHONE,J2.VBUS,U4.VBUS,,NOT to +3V3 or +5V
VCAP_1,U1.VCAP_1,C1.1,,
VCAP_2,U1.VCAP_2,C2.1,,
NRST,U1.NRST,C17.1,SW1.1,J3.5
BOOT0,U1.BOOT0,R9.1,J4.1,
SWDIO,U1.PA13,J3.2,,
SWCLK,U1.PA14,J3.4,,
OSC_IN,U1.PH0-OSC_IN,Y1.1,Cload.1,
OSC_OUT,U1.PH1-OSC_OUT,Y1.2,Cload.1,
LED,U1.PA1,R10.1,,
LED_K,R10.2,D1.anode; D1.cathode to GND,,
